semana,covid_actas,covid_o_neumonia_actas,covid_dge,exceso,covid_actas_acum,covid_o_neumonia_actas_acum,covid_dge_acum,exceso_acum
2020-02-23,0,2,0,-138,0,2,0,-138
2020-03-01,0,1,1,-115,0,3,1,-253
2020-03-08,0,2,1,-3,0,5,2,-256
2020-03-15,2,4,1,-48,2,9,3,-304
2020-03-22,7,22,12,59,9,31,15,-245
2020-03-29,28,61,38,27,37,92,53,-218
2020-04-05,135,169,107,207,172,261,160,-11
2020-04-12,287,348,157,440,459,609,317,429
2020-04-19,709,804,329,1093,1168,1413,646,1522
2020-04-26,1320,1479,523,2126,2488,2892,1169,3648
2020-05-03,1672,1866,598,2723,4160,4758,1767,6371
2020-05-10,1778,1975,754,2802,5938,6733,2521,9173
2020-05-17,1973,2127,832,2962,7911,8860,3353,12135
2020-05-24,1726,1828,754,2485,9637,10688,4107,14620
2020-05-31,1619,1747,763,2457,11256,12435,4870,17077
2020-06-07,1530,1650,762,2159,12786,14085,5632,19236
2020-06-14,1330,1431,620,1853,14116,15516,6252,21089
2020-06-21,1052,1128,486,1388,15168,16644,6738,22477
2020-06-28,967,1051,446,1370,16135,17695,7184,23847
2020-07-05,886,957,409,1149,17021,18652,7593,24996
2020-07-12,843,911,433,1094,17864,19563,8026,26090
2020-07-19,741,790,350,866,18605,20353,8376,26956
2020-07-26,699,765,334,930,19304,21118,8710,27886
2020-08-02,764,815,380,1011,20068,21933,9090,28897
2020-08-09,656,715,297,991,20724,22648,9387,29888
2020-08-16,602,652,300,1140,21326,23300,9687,31028
2020-08-23,661,708,331,1003,21987,24008,10018,32031
2020-08-30,649,704,340,1029,22636,24712,10358,33060
2020-09-06,647,697,329,905,23283,25409,10687,33965
2020-09-13,611,651,311,767,23894,26060,10998,34732
2020-09-20,614,670,295,905,24508,26730,11293,35637
2020-09-27,598,640,324,824,25106,27370,11617,36461
2020-10-04,652,709,318,948,25758,28079,11935,37409
2020-10-11,598,655,298,849,26356,28734,12233,38258
2020-10-18,647,706,340,744,27003,29440,12573,39002
2020-10-25,667,710,329,820,27670,30150,12902,39822
2020-11-01,750,804,367,1078,28420,30954,13269,40900
2020-11-08,837,911,416,1170,29257,31865,13685,42070
2020-11-15,1009,1084,465,1306,30266,32949,14150,43376
2020-11-22,1094,1176,548,1343,31360,34125,14698,44719
2020-11-29,1271,1359,612,1657,32631,35484,15310,46376
2020-12-06,1619,1752,781,2129,34250,37236,16091,48505
2020-12-13,2029,2187,944,2681,36279,39423,17035,51186
2020-12-20,2450,2605,1046,3447,38729,42028,18081,54633
2020-12-27,2821,2984,1177,3782,41550,45012,19258,58415
2021-01-03,3242,3404,1259,4420,44792,48416,20517,62835
2021-01-10,3728,3901,1367,4734,48520,52317,21884,67569
2021-01-17,4032,4168,1443,5299,52552,56485,23327,72868
2021-01-24,3581,3686,1444,4340,56133,60171,24771,77208
2021-01-31,2942,3028,1150,3449,59075,63199,25921,80657
2021-02-07,2190,2278,891,2316,61265,65477,26812,82973
2021-02-14,1794,1868,761,NA,63059,67345,27573,NA
